GATE_DS_SB: 855.1039><545.8064><709.4749><444.8315><2><><48><35
GATE_SB_SL: 4507.391><584.7815><3287.517><408.5526><1><><48><35
GATE_LF_SB: -805.6122><1350.781><-440.485><1177.555><1><><48><35
GATE_SB_VS: 1936.934><-20.18029><1564.729><-82.50632><2><><48><35
SB_F03: -974.1476><1045.191><-580.3472><771.9811><1><><48><232
SB_A10: -795.8826><1106.724><-443.2249><1027.575><1><><54><35
SB_A09: -1232.761><862.0973><-755.0862><796.4338><1><><48><35
SB_H03: -1002.172><617.3888><-755.2007><539.7862><1><Subterranean><204><78
SB_S06: -1509.027><577.2685><-876.9189><681.8644><2><><48><25
SB_H02: -378.1714><502.389><-315.201><463.7867><1><Subterranean><204><78
SB_A04: -773.1713><416.389><-441.2007><448.7867><1><Subterranean><54><35
SB_A13: -930.5908><416.7076><-551.0242><447.3557><1><Subterranean><48><35
SB_A01: -654.1713><383.389><-366.2016><296.7867><2><Subterranean><52><35
SB_A11: -616.1099><272.0906><-358.1344><165.4821><1><Subterranean><48><35
SB_B01: -316.1713><297.389><-227.2006><162.7868><1><Subterranean><105><35
SB_S07: -407.8767><220.0816><-207.0197><30.37329><1><><48><35
SB_A12: -15.1096><275.0906><89.86627><150.4823><1><Subterranean><48><35
SB_C01: -346.1714><390.3892><-243.2008><299.7867><2><Subterranean><148><35
SB_B02: 50.82836><395.3892><72.7992><291.7867><2><Subterranean><113><35
SB_C05: 185.8284><-22.61145><220.7992><-4.213834><2><><48><121
SB_A03: 9.827891><454.3886><129.7993><403.7867><1><Subterranean><49><35
SB_E04: 397.8287><547.3888><162.7995><536.7862><1><Subterranean><254><38
SB_C06: 435.8286><308.3892><364.7984><253.7862><2><><48><121
SB_S03: 435.104><303.807><470.4757><355.8315><2><><48><35
SB_F02: 469.8282><4.388847><353.7984><-30.21385><2><Filtration System><104><121
SB_E07: 910.7693><-108.0153><604.6472><-173.2285><2><Filtration System><151><80
SB_B04: 1049.132><-170.8302><934.7473><-179.1481><2><Filtration System><48><74
SB_S10: 1153.612><-199.4303><1075.758><-294.1913><1><><48><35
SB_C10: 1030.347><61.86003><816.0819><39.23839><2><Filtration System><151><35
SB_G04: 1489.939><-97.19031><1054.624><-169.3389><2><Filtration System><247><72
SB_D04: 707.8287><307.3888><589.7982><136.7861><2><Filtration System><48><150
